ST.Date.H,A_Win.speed,A_Occurrence,B_ST.Date.H,B_Win.speed,B_Occurrence,C_ST.Date.H,C_Win.speed,C_Occurrence,D_ST.Date.H,D_Win.speed,D_Occurrence
SM4-A.2023-09-06 09:00:00,5.18,0,SM4-B.2023-09-06 09:00:00,6.61,0,SM4-C.2023-09-06 09:00:00,2.38,0,SM4-D.2023-09-06 09:00:00,6.32,0
SM4-A.2023-09-06 10:00:00,5.99,0,SM4-B.2023-09-06 10:00:00,8.02,0,SM4-C.2023-09-06 10:00:00,2.96,0,SM4-D.2023-09-06 10:00:00,7.05,0
SM4-A.2023-09-06 11:00:00,8.63,0,SM4-B.2023-09-06 11:00:00,8.92,0,SM4-C.2023-09-06 11:00:00,6.84,0,SM4-D.2023-09-06 11:00:00,7.67,0
SM4-A.2023-09-06 12:00:00,8.93,0,SM4-B.2023-09-06 12:00:00,9.96,0,SM4-C.2023-09-06 12:00:00,9.67,0,SM4-D.2023-09-06 12:00:00,8.14,0
SM4-A.2023-09-06 13:00:00,9.56,0,SM4-B.2023-09-06 13:00:00,9.78,0,SM4-C.2023-09-06 13:00:00,9.37,0,SM4-D.2023-09-06 13:00:00,8.51,0
SM4-A.2023-09-06 14:00:00,8.41,0,SM4-B.2023-09-06 14:00:00,9.03,0,SM4-C.2023-09-06 14:00:00,7.99,0,SM4-D.2023-09-06 14:00:00,7.83,0
SM4-A.2023-09-06 15:00:00,6.84,0,SM4-B.2023-09-06 15:00:00,8.27,0,SM4-C.2023-09-06 15:00:00,4.61,0,SM4-D.2023-09-06 15:00:00,7.28,0
SM4-A.2023-09-06 16:00:00,7.74,0,SM4-B.2023-09-06 16:00:00,8.33,0,SM4-C.2023-09-06 16:00:00,3.81,0,SM4-D.2023-09-06 16:00:00,6.64,0
SM4-A.2023-09-06 17:00:00,6.19,0,SM4-B.2023-09-06 17:00:00,7.02,0,SM4-C.2023-09-06 17:00:00,1.69,0,SM4-D.2023-09-06 17:00:00,6.24,0
SM4-A.2023-09-06 18:00:00,5.5,0,SM4-B.2023-09-06 18:00:00,5.84,0,SM4-C.2023-09-06 18:00:00,2.4,0,SM4-D.2023-09-06 18:00:00,5,0
